term_kr,term_en,definition,category
자동자재취급시스템,AMHS (Automated Material Handling System),"FAB 내 자재를 자동 운반·보관·추적하는 통합 물류 시스템.","스마트팩토리"
천장반송차,OHT (Overhead Hoist Transport),"천장 레일을 주행하며 FOUP를 승강·운반하는 반송차.","OHT기술"
자율이동로봇,AMR (Autonomous Mobile Robot),"센서·SLAM 기반으로 자율 주행하는 이동 로봇.","AMR기술"
무인운반차,AGV (Automated Guided Vehicle),"고정 경로를 따라 주행하는 무인 운반차.","AMR기술"
전공정통합용기,FOUP (Front Opening Unified Pod),"300mm 웨이퍼 25매를 담는 밀폐 캐리어.","OHT기술"
장비전단모듈,EFEM (Equipment Front End Module),"FOUP과 장비 내부를 잇는 웨이퍼 이송 전단 설비.","OHT기술"
로드포트,Load Port,"장비 전면에서 FOUP를 거치·도킹하는 인터페이스.","OHT기술"
스토커,Stocker (AS/RS),"FOUP를 임시 보관·버퍼링하는 자동 창고.","OHT기술"
자재제어시스템,MCS (Material Control System),"반송 설비를 제어하고 작업을 배정하는 시스템.","MES연계"
제조실행시스템,MES (Manufacturing Execution System),"생산 계획·실행·추적을 담당하는 상위 시스템.","MES연계"
자재취급시스템,MHS (Material Handling System),"자재 반송 설비 전반을 총칭.","MES연계"
디스패칭,Dispatching,"대기 작업을 차량에 배정하는 의사결정.","SW알고리즘"
경로탐색,Path Finding,"출발지~목적지 최단·최적 경로 계산.","SW알고리즘"
에이스타알고리즘,A* Algorithm,"f=g+h 기반 최단경로 탐색 알고리즘.","SW알고리즘"
다익스트라,Dijkstra,"가중 그래프 최단경로 알고리즘.","SW알고리즘"
휴리스틱,Heuristic,"목표까지 비용을 추정하는 함수.","SW알고리즘"
인터베이,Interbay,"베이와 베이 사이 상위 반송 계층.","OHT기술"
인트라베이,Intrabay,"베이 내부 장비 간 반송 계층.","OHT기술"
베이,Bay,"공정 장비가 모인 구역 단위.","스마트팩토리"
처리량,Throughput,"단위 시간당 완료 작업 수.","스마트팩토리"
사이클타임,Cycle Time,"작업 시작~완료 소요 시간.","스마트팩토리"
택타임,Takt Time,"수요 대비 한 단위 생산 허용 시간.","스마트팩토리"
병목,Bottleneck,"전체 흐름을 제한하는 최저속 구간.","스마트팩토리"
버퍼,Buffer,"흐름 변동을 흡수하는 임시 보관 용량.","OHT기술"
가동률,Availability,"설비가 실제 가동된 시간 비율.","기타"
신뢰성,Reliability,"설비가 고장 없이 기능하는 정도.","기타"
유지보수성,Maintainability,"정비·복구의 용이성.","기타"
가상물리시스템,CPS (Cyber-Physical System),"물리 시스템과 SW를 결합한 시스템.","스마트팩토리"
디지털트윈,Digital Twin,"물리 설비를 가상 복제해 분석하는 기술.","스마트팩토리"
상태기반정비,CBM (Condition Based Maintenance),"상태 데이터 기반 예지보전.","기타"
예지보전,Predictive Maintenance,"데이터로 고장을 예측해 사전 정비.","기타"
동시위치지도작성,SLAM (Simultaneous Localization and Mapping),"주행 중 지도작성·위치추정 동시 수행.","AMR기술"
라이다,LiDAR,"레이저로 거리를 측정하는 센서.","AMR기술"
충돌회피,Collision Avoidance,"차량·장애물 간 충돌 방지 제어.","SW알고리즘"
스케줄링,Scheduling,"작업 순서·시점을 최적화하는 계획.","SW알고리즘"
우선순위,Priority,"긴급도에 따른 작업 처리 순서.","SW알고리즘"
가상계측,Virtual Metrology,"측정 없이 공정 결과를 예측하는 AI 기법.","SW알고리즘"
수율,Yield,"투입 대비 양품 비율.","스마트팩토리"
컨베이어,Conveyor,"연속 이송용 벨트/롤러 반송 설비.","OHT기술"
호이스트,Hoist,"FOUP를 수직 승강하는 장치.","OHT기술"
그리퍼,Gripper,"FOUP를 잡는 집게 기구.","OHT기술"
트랙,Track / Rail,"OHT가 주행하는 천장 레일.","OHT기술"
노드,Node,"경로 그래프의 지점(분기/정류).","SW알고리즘"
간선,Edge,"노드 사이 연결과 이동 비용.","SW알고리즘"
스마트팩토리,Smart Factory,"데이터·자동화 기반 지능형 공장.","스마트팩토리"
디지털전환,DT (Digital Transformation),"데이터·디지털 기술로 운영을 혁신.","스마트팩토리"
반도체팹,FAB (Fabrication Plant),"반도체 전공정 제조 공장.","스마트팩토리"
클린룸,Cleanroom,"미세먼지를 제어한 청정 제조 공간.","스마트팩토리"
웨이퍼,Wafer,"반도체 소자를 만드는 실리콘 기판.","스마트팩토리"
캐리어,Carrier,"웨이퍼를 담아 운반하는 용기(FOUP 등).","OHT기술"
핸드오프,Handoff,"반송차-장비 간 적재/하역 이적재.","MES연계"
세미표준,SEMI Standards,"반도체 장비·자재 국제 표준 규격.","MES연계"
자동창고,AS/RS (Automated Storage and Retrieval System),"자동 입출고 보관 설비(스토커).","OHT기술"
실시간위치추적,RTLS (Real-Time Location System),"자재·차량 위치를 실시간 추적.","MES연계"
물리인공지능,Physical AI,"로봇·자율주행·제조 설비에 적용되는 AI.","AMR기술"
