id,title,date,summary,key_sentence,category,url,quiz_q,quiz_a
1,"[AI 산업 생태계 톺아보기 2편] 메모리에서 시작되는 AI 혁신, SK하이닉스","2024-11-20","SK하이닉스가 AI 시대의 메모리 리더십과 스마트팩토리 기반 제조 경쟁력을 소개한 기획 기사. FAB 운영의 디지털 전환 방향을 설명한다.","AI 혁신은 데이터를 처리·저장하는 메모리에서 시작되며, 이를 뒷받침하는 것이 자동화된 스마트팩토리다.","스마트팩토리","https://news.skhynix.co.kr/exploring-the-ai-industry-ep2/","SK하이닉스가 AI 제조 경쟁력의 핵심으로 강조한 생산 체계는?","스마트팩토리(자동화 기반 제조)"
2,"[2026 The Leaders] 박준덕 부사장 — Physical AI와 로봇·자율주행 제조 설비","2026-03-11","Physical AI(로봇·자율주행·제조 설비에 적용되는 AI)가 SK하이닉스의 기회라는 임원 인터뷰. AMR·로봇 기반 물류 자동화 흐름과 맞닿아 있다.","Physical AI는 로봇, 자율주행, 제조 설비 등 물리적 시스템에 적용되는 AI를 의미한다.","AMR기술","https://news.skhynix.co.kr/2026-new-executive-bakjundeok/","Physical AI가 적용되는 물리적 시스템 3가지는?","로봇·자율주행·제조 설비"
3,"SK하이닉스, AI 솔루션 'Panoptes VM' 양산 적용 (Gauss Labs 협업, SPIE AL 2026)","2026-02-15","Gauss Labs와 협업한 가상 계측(Virtual Metrology) AI 'Panoptes VM'을 양산에 적용. 공정 결과를 예측해 계측 부하를 줄이는 SW 알고리즘 사례.","Panoptes VM은 웨이퍼를 직접 측정하지 않고도 공정 결과를 예측하는 가상 계측 AI다.","SW알고리즘","https://news.skhynix.co.kr/spie-al-2026-with-gauss-labs/","Panoptes VM이 수행하는 AI 기능은?","가상 계측(공정 결과 예측)"
4,"[앰버서더 직무 리포트 Ep1] 기반기술·DMI 직무 소개","2024-08-10","SK하이닉스 현직자가 기반기술·계측(DMI) 직무를 소개한 채용 콘텐츠. IT/자동화 직무 이해에 참고된다.","현장의 데이터를 기반으로 공정과 설비를 최적화하는 것이 기반기술 직무의 핵심이다.","기타","https://news.skhynix.co.kr/ambassador-job-report-ep1/","기반기술 직무가 데이터를 활용해 최적화하는 대상은?","공정과 설비"
5,"SK하이닉스 도승용 부사장, 과학·정보통신의 날 동탑산업훈장 수상","2025-04-22","AI/DT 기반 스마트팩토리 시스템 구축으로 HBM·메모리 제조 기술력을 높인 공로로 동탑산업훈장 수상.","AI/DT 기반 스마트팩토리 시스템을 구축해 HBM과 메모리 제품의 시장 경쟁력을 강화했다.","스마트팩토리","https://news.skhynix.co.kr/?s=%EB%8F%99%ED%83%91%EC%82%B0%EC%97%85%ED%9B%88%EC%9E%A5","도승용 부사장이 구축한 시스템의 기반 기술 2가지는?","AI와 DT(디지털 전환)"
6,"[넷제로 2050] SK하이닉스, AI·DT 기반 설비 운영 최적화로 에너지 절감","2024-06-05","설비 운영을 AI·DT로 최적화해 에너지를 절감하는 사례. AMHS 반송 효율 최적화와 같은 맥락의 운영 최적화 접근.","AI·DT 기반의 설비 운영 최적화는 생산성과 에너지 효율을 동시에 끌어올린다.","스마트팩토리","https://news.skhynix.co.kr/?s=%EB%84%B7%EC%A0%9C%EB%A1%9C","설비 운영 최적화로 동시에 달성한 두 가지 목표는?","생산성 향상과 에너지 절감"
7,"SK하이닉스, 웨이퍼 제조 공정 결과 예측 AI 솔루션 도입","2024-10-01","웨이퍼 공정 결과를 예측하는 AI를 양산에 적용해 품질·수율을 관리. 데이터 기반 예측 제어의 대표 사례.","공정 결과를 사전에 예측해 이상을 조기에 감지하고 대응한다.","SW알고리즘","https://news.skhynix.co.kr/?s=Panoptes","공정 결과 예측 AI의 주요 효과는?","이상 조기 감지 및 수율 관리"
8,"SK하이닉스, 생성형 AI 플랫폼 'GaiA' 공개","2024-12-10","사내 생성형 AI 플랫폼 GaiA를 통해 업무·제조 데이터 활용을 가속. AI 전환(AX) 로드맵의 일부.","GaiA 플랫폼으로 전사적 AI 전환을 선도한다.","SW알고리즘","https://news.skhynix.co.kr/?s=GaiA","SK하이닉스의 사내 생성형 AI 플랫폼 이름은?","GaiA"
9,"[K반도체 스토리] 디지털 트랜스포메이션 (Ep1)","2023-05-18","반도체 제조의 디지털 전환을 다룬 기획. MES·데이터 연계를 통한 통합 제어 흐름을 설명.","제조 데이터를 통합 관리하는 MES가 디지털 전환의 중심에 있다.","MES연계","https://news.skhynix.co.kr/?s=%EB%94%94%EC%A7%80%ED%84%B8%ED%8A%B8%EB%9E%9C%EC%8A%A4%ED%8F%AC%EB%A9%94%EC%9D%B4%EC%85%98","제조 디지털 전환의 중심에 있는 시스템은?","MES(제조실행시스템)"
10,"[전공별 취업 스토리②] 산업공학 전공자의 SK하이닉스 직무","2023-03-22","산업공학 전공자가 수행하는 생산 최적화·물류·스케줄링 직무 소개. AMHS 디스패칭/스케줄링과 직접 연관.","산업공학은 생산 흐름과 물류를 최적화하는 학문으로 반도체 제조와 잘 맞는다.","기타","https://news.skhynix.co.kr/?s=%EC%82%B0%EC%97%85%EA%B3%B5%ED%95%99","산업공학 전공이 반도체 제조에서 최적화하는 대상은?","생산 흐름과 물류"
